mesh_ui,canonical,synonym
D016700,Encainide,encainide
D016700,Encainide,encainide hydrochloride
D016700,Encainide,"encainide, (-)-isomer"
D016700,Encainide,enkaid
D016700,Encainide,"encainide, (+)-isomer"
D016704,Synapsins,synapsins
D016704,Synapsins,synapsin iii
D016704,Synapsins,synapsin ii
D016704,Synapsins,synapsin i
D016708,Synaptophysin,synaptophysin
D016712,Mupirocin,"mupirocin, 14c-labeled"
D016712,Mupirocin,"mupirocin, calcium salt (2:1), dihydrate"
D016712,Mupirocin,bactroban
D016712,Mupirocin,"mupirocin, sodium salt"
D016712,Mupirocin,mupirocin calcium
D016712,Mupirocin,"mupirocin, calcium salt (2:1)"
D016712,Mupirocin,brl-4910a
D016712,Mupirocin,"mupirocin, lithium salt"
D016712,Mupirocin,pseudomonic acid
D016712,Mupirocin,mupirocin
D016713,Ritanserin,ritanserin tartrate
