mesh_ui,canonical,synonym
D004702,Endocrine Glands,endocrine glands
D004703,Endocrine System,endocrine system
D004707,Endoderm,endoderm
D004707,Endoderm,definitive endoderm
D004710,Endolymph,endolymph
D004711,Endolymphatic Duct,endolymphatic duct
D004712,Endolymphatic Sac,endolymphatic sac
D004717,Endometrium,endometrium
D004721,Endoplasmic Reticulum,endoplasmic reticulum
D004727,Endothelium,endothelium
D004728,"Endothelium, Corneal","endothelium, anterior chamber"
D004728,"Endothelium, Corneal","endothelium, corneal"
D004728,"Endothelium, Corneal",anterior chamber epithelium
D004729,"Endothelium, Lymphatic","endothelium, lymphatic"
D004730,"Endothelium, Vascular","endothelium, vascular"
D004730,"Endothelium, Vascular",capillary endothelium
D004759,Enterochromaffin Cells,enterochromaffin cells
D004804,Eosinophils,eosinophils
D004805,Ependyma,ependyma
D004817,Epidermis,epidermis
D004822,Epididymis,epididymis
D004824,Epidural Space,epidural space
D004825,Epiglottis,epiglottis
D004838,Epiphyses,epiphyses
D004846,Epithelial Attachment,epithelial attachment
D004847,Epithelial Cells,epithelial cells
D004847,Epithelial Cells,transitional epithelial cells
D004847,Epithelial Cells,squamous epithelial cells
D004847,Epithelial Cells,glandular epithelial cells
D004848,Epithelium,mesothelium
D004848,Epithelium,epithelium
D004900,Erythroblasts,proerythroblasts
D004900,Erythroblasts,erythroblasts
D004900,Erythroblasts,pronormoblasts
D004900,Erythroblasts,normoblasts
D004908,Erythrocyte Inclusions,erythrocyte inclusions
D004908,Erythrocyte Inclusions,howell-jolly bodies
D004910,Erythrocyte Membrane,red cell ghost
D004910,Erythrocyte Membrane,erythrocyte membrane
D004910,Erythrocyte Membrane,erythrocyte cytoskeleton
D004912,Erythrocytes,erythrocytes
D004913,"Erythrocytes, Abnormal","erythrocytes, abnormal"
D004943,Esophagogastric Junction,esophagogastric junction
D004947,Esophagus,esophagus
D005004,Ethmoid Bone,horizontal plate of ethmoid bone
D005004,Ethmoid Bone,ethmoid bone
D005005,Ethmoid Sinus,infraorbital ethmoid cell
D005005,Ethmoid Sinus,sphenoethmoidal air cell
D005005,Ethmoid Sinus,ethmoid sinus
D005005,Ethmoid Sinus,ethmoid bulla
D005057,Eukaryotic Cells,eukaryotic cells
D005064,Eustachian Tube,eustachian tube
D005088,Exocrine Glands,exocrine glands
D005109,Extracellular Matrix,extracellular matrix
D005110,Extracellular Space,extracellular space
D005116,Extrapyramidal Tracts,extrapyramidal tracts
D005121,Extremities,extremities
D005122,Exudates and Transudates,transudates
D005122,Exudates and Transudates,exudates and transudates
D005122,Exudates and Transudates,exudates
D005123,Eye,eye
D005138,Eyebrows,eyebrows
D005140,Eyelashes,eyelashes
D005143,Eyelids,eyelids
D005145,Face,face
D005147,Facial Bones,facial bones
D005152,Facial Muscles,mimetic muscles
D005152,Facial Muscles,facial muscles
D005154,Facial Nerve,nervus intermedius
D005154,Facial Nerve,facial nerve
D005154,Facial Nerve,marginal mandibular nerve
D005187,Fallopian Tubes,fallopian tubes
D005205,Fascia,fascia
D005206,Fascia Lata,fascia lata
D005216,Fat Body,insect fat body
D005216,Fat Body,amphibian fat body
D005216,Fat Body,fat body
D005241,Feathers,feathers
D005243,Feces,feces
D005263,Femoral Artery,femoral artery
D005263,Femoral Artery,common femoral artery
D005267,Femoral Nerve,femoral nerve
D005268,Femoral Vein,femoral vein
D005269,Femur,greater trochanter
D005269,Femur,femur
D005269,Femur,lesser trochanter
D005269,Femur,trochanter
D005270,Femur Head,femur head
D005272,Femur Neck,femur neck
D005312,Fetal Blood,fetal blood
D005312,Fetal Blood,cord blood
D005318,Fetal Heart,fetal heart
D005321,Extraembryonic Membranes,fetal membranes
D005321,Extraembryonic Membranes,extraembryonic membranes
D005333,Fetus,fetus
D005333,Fetus,mummified fetus
D005333,Fetus,fetal structures
D005333,Fetus,retained fetus
D005333,Fetus,fetal tissue
D005347,Fibroblasts,fibroblasts
D005360,Fibula,fibula
D005384,Finger Joint,finger joint
D005385,Fingers,fingers
D005407,Flagella,flagella
D005441,Fluids and Secretions,fluids and secretions
D005487,Foam Cells,foam cells
D005528,Foot,foot
D005529,Foot Bones,foot bones
D005539,Foramen Magnum,foramen magnum
D005542,Forearm,forearm
D005545,"Forefoot, Human","forefoot, human"
D005546,Forehead,forehead
D005552,Forelimb,forelimb
D005584,Fovea Centralis,fovea centralis
D005624,Frontal Bone,frontal bone
D005625,Frontal Lobe,frontal eye fields
D005625,Frontal Lobe,brodmann area 8
D005625,Frontal Lobe,supplementary eye field
D005625,Frontal Lobe,frontal lobe
D005626,Frontal Sinus,frontal sinus
D005626,Frontal Sinus,frontal sinus ostium
D005626,Frontal Sinus,agger nasi cell
D005626,Frontal Sinus,frontal recess
D005638,Fruit,legume pod
D005638,Fruit,berries
D005638,Fruit,plant aril
D005638,Fruit,fruit
