mesh_ui,canonical,synonym
D007957,Leukocyte Adherence Inhibition Test,leukocyte adherence inhibition test
D007958,Leukocyte Count,"leukocyte count, differential"
D007958,Leukocyte Count,leukocyte count
D007959,"Lymphocyte Culture Test, Mixed","lymphocyte culture test, mixed"
D008033,Limulus Test,limulus test
D008111,Liver Function Tests,liver function tests
D008170,Lung Compliance,lung compliance
D008176,Lung Volume Measurements,lung volumes
D008176,Lung Volume Measurements,lung volume measurements
D008176,Lung Volume Measurements,lung capacities
D008213,Lymphocyte Activation,lymphocyte activation
D008220,Lymphography,lymphography
D008220,Lymphography,lymphangiography
D008279,Magnetic Resonance Imaging,mri scans
D008279,Magnetic Resonance Imaging,"imaging, chemical shift"
D008279,Magnetic Resonance Imaging,magnetization transfer contrast imaging
D008279,Magnetic Resonance Imaging,magnetic resonance imaging
D008279,Magnetic Resonance Imaging,magnetic resonance image
D008279,Magnetic Resonance Imaging,spin echo imaging
D008279,Magnetic Resonance Imaging,"tomography, proton spin"
D008279,Magnetic Resonance Imaging,fmri
D008327,Mammography,digital breast tomosynthesis
D008327,Mammography,digital mammography
D008327,Mammography,mammography
D008400,Mass Chest X-Ray,mass chest x-ray
D008403,Mass Screening,mass screening
D008403,Mass Screening,screening
D008448,Maximal Expiratory Flow Rate,maximal expiratory flow rate
D008449,Maximal Expiratory Flow-Volume Curves,maximal expiratory flow-volume curves
D008450,Maximal Midexpiratory Flow Rate,maximal midexpiratory flow rate
D008451,Maximal Voluntary Ventilation,maximal voluntary ventilation
D008481,Mediastinoscopy,mediastinoscopy
D008481,Mediastinoscopy,mediastinoscopic surgical procedures
D008487,Medical History Taking,family medical history
D008487,Medical History Taking,previous medical history
D008487,Medical History Taking,medical history taking
D008657,Metabolic Clearance Rate,total body clearance rate
D008657,Metabolic Clearance Rate,metabolic clearance rate
D008826,Microbial Sensitivity Tests,"breakpoint determination, antibacterial susceptibility"
D008826,Microbial Sensitivity Tests,antimicrobial susceptibility breakpoint determination
D008826,Microbial Sensitivity Tests,microbial sensitivity tests
D008826,Microbial Sensitivity Tests,minimum inhibitory concentration
D008826,Microbial Sensitivity Tests,virus drug sensitivity tests
D008826,Microbial Sensitivity Tests,bacterial sensitivity tests
D008826,Microbial Sensitivity Tests,antibiogram
D008826,Microbial Sensitivity Tests,fungus drug sensitivity tests
D008828,Microbiological Techniques,microbiological techniques
D008852,Microradiography,microradiography
D008853,Microscopy,microscopy
D008853,Microscopy,optical microscopy
D008854,"Microscopy, Electron","microscopy, electron"
D008855,"Microscopy, Electron, Scanning","microscopy, electron, scanning"
D008856,"Microscopy, Fluorescence","microscopy, fluorescence"
D008856,"Microscopy, Fluorescence",immunofluorescence microscopy
D008857,"Microscopy, Interference","microscopy, interference reflection"
D008857,"Microscopy, Interference","microscopy, interference"
D008857,"Microscopy, Interference","microscopy, differential interference contrast"
D008858,"Microscopy, Phase-Contrast","microscopy, phase-contrast"
D008859,"Microscopy, Polarization","microscopy, polarization"
D008860,"Microscopy, Ultraviolet","microscopy, ultraviolet"
D008867,Microtomy,ultramicrotomy
D008867,Microtomy,microtomy
D008940,Mitotic Index,mitotic index
D008991,"Monitoring, Physiologic","monitoring, physiologic"
D008991,"Monitoring, Physiologic",patient monitoring
D009079,Mucociliary Clearance,mucociliary clearance
D009098,Multiphasic Screening,multiphasic screening
D009098,Multiphasic Screening,automated multiphasic health testing
D009192,Myelography,"cisternography, myelographic"
D009192,Myelography,myelography
D009213,Myography,myography
D009299,Nasal Provocation Tests,nasal provocation tests
D009367,Neoplasm Staging,neoplasm staging
D009367,Neoplasm Staging,tnm staging
D009403,"Nephrostomy, Percutaneous","nephrostomy, percutaneous"
D009460,Neurologic Examination,neurologic examination
D009485,Neuroradiography,neuroradiography
D009500,Neutralization Tests,neutralization tests
D009780,Occult Blood,occult blood
D009780,Occult Blood,fecal occult blood test
D009811,Odontometry,odontometry
D009884,Ophthalmodynamometry,ophthalmodynamometry
D009887,Ophthalmoscopy,ophthalmoscopy
D009929,Organ Size,organ volume
D009929,Organ Size,organ weight
D009929,Organ Size,organ size
D009996,Osmotic Fragility,saline fragility
D009996,Osmotic Fragility,osmotic fragility
D010050,Ovarian Function Tests,ovarian function tests
D010061,Ovulation Detection,"ovulation detection, cervical mucus method"
D010061,Ovulation Detection,"ovulation detection, basal body temperature method"
D010061,Ovulation Detection,ovulation detection
D010061,Ovulation Detection,"ovulation detection, sympto-thermal method"
D010092,Oximetry,"oximetry, pulse"
D010092,Oximetry,oximetry
D010147,Pain Measurement,mcgill pain questionnaire
D010147,Pain Measurement,pain intensity
D010147,Pain Measurement,pain measurement
D010147,Pain Measurement,tourniquet pain test
D010147,Pain Measurement,formalin test
D010147,Pain Measurement,visual analog pain scale
D010147,Pain Measurement,analogue pain scale
D010173,Palpation,palpation
D010186,Pancreatic Function Tests,pancreatic function tests
D010270,Parasite Egg Count,parasite egg count
D010314,Partial Thromboplastin Time,kaolin-cephalin coagulation time
D010314,Partial Thromboplastin Time,partial thromboplastin time
D010323,Passive Cutaneous Anaphylaxis,passive cutaneous anaphylaxis
D010328,Patch Tests,patch testing
D010328,Patch Tests,patch tests
D010366,Peak Expiratory Flow Rate,peak expiratory flow rate
D010387,Pelvimetry,cephalopelvimetry
D010387,Pelvimetry,pelvimetry
D010387,Pelvimetry,cephalopelvic proportion
D010474,Percussion,percussion
D010503,Periodic Acid-Schiff Reaction,periodic acid-schiff reaction
D010535,Laparoscopy,"surgical procedures, laparoscopic"
D010535,Laparoscopy,laparoscopy
D010690,Phlebography,phlebography
D010701,Phonocardiography,phonocardiography
D010779,Photofluorography,photofluorography
D010780,Photogrammetry,stereophotogrammetry
D010780,Photogrammetry,photogrammetry
D010781,Photography,photography
D010784,Photomicrography,photomicrography
D010808,Physical Examination,physical examinations and diagnoses
D010808,Physical Examination,physical examination
D010858,Pigmentation,pigmentation
D010901,Pituitary Function Tests,pituitary function tests
D010912,Pituitary-Adrenal Function Tests,pituitary-adrenal function tests
D010925,Placental Function Tests,placental function tests
D010948,Viral Plaque Assay,viral plaque assay
D010948,Viral Plaque Assay,bacteriophage plaque assay
D010976,Platelet Count,platelet count
D010979,Platelet Function Tests,platelet function tests
D010991,Plethysmography,plethysmography
D010992,"Plethysmography, Impedance","plethysmography, impedance"
D010993,"Plethysmography, Whole Body","plethysmography, whole body"
D011011,Pneumoencephalography,"cisternography, pneumoencephalographic"
D011011,Pneumoencephalography,pneumoencephalography
D011012,"Pneumomediastinum, Diagnostic","pneumomediastinum, diagnostic"
D011028,"Pneumoperitoneum, Artificial","pneumoperitoneum, artificial"
D011029,Pneumoradiography,pneumoradiography
D011172,Portography,portography
D011172,Portography,splenoportography
D011233,Precipitin Tests,precipitin tests
D011256,Pregnancy Outcome,pregnancy outcome
D011258,Pregnancy Tests,pregnancy tests
D011259,"Pregnancy Tests, Immunologic","pregnancy tests, immunologic"
D011291,Premarital Examinations,premarital examinations
D011296,Prenatal Diagnosis,fetal diagnosis
D011296,Prenatal Diagnosis,prenatal diagnosis
D011296,Prenatal Diagnosis,fetal imaging
D011296,Prenatal Diagnosis,fetal screening
D011296,Prenatal Diagnosis,prenatal screening
D011351,Proctoscopy,proctoscopic surgical procedures
D011351,Proctoscopy,rectoscopy
D011351,Proctoscopy,proctoscopy
D011351,Proctoscopy,anoscopy
D011379,Prognosis,prognostic factors
D011379,Prognosis,prognosis
D011517,Prothrombin Time,thrombotest
D011517,Prothrombin Time,russell's viper venom time
D011517,Prothrombin Time,prothrombin time
D011517,Prothrombin Time,quick test
D011540,Prussian Blue Reaction,prussian blue reaction
D011571,Psychoacoustics,psychoacoustics
D011601,Psychophysics,psychophysics
D011653,Pulmonary Diffusing Capacity,pulmonary diffusing capacity
D011659,Pulmonary Gas Exchange,pulmonary gas exchange
D011852,Radioallergosorbent Test,radioallergosorbent test
D011856,Radiographic Image Enhancement,radiographic image enhancement
D011856,Radiographic Image Enhancement,digital radiography
D011857,"Radiographic Image Interpretation, Computer-Assisted","radiographic image interpretation, computer-assisted"
D011858,Radiographic Magnification,radiographic magnification
D011859,Radiography,radiography
D011859,Radiography,diagnostic x-ray
D011860,"Radiography, Abdominal","radiography, abdominal"
D011861,"Radiography, Dental","radiography, dental"
D011862,"Radiography, Panoramic","radiography, panoramic"
D011863,Radioimmunoassay,radioimmunoassay
D011865,Radioisotope Dilution Technique,radioisotope dilution technique
D011866,Radioisotope Renography,radioisotope renography
D011866,Radioisotope Renography,renography
D011869,Radioligand Assay,radioligand assay
D011875,Radionuclide Angiography,radionuclide angiography
D011877,Radionuclide Imaging,scintiphotography
D011877,Radionuclide Imaging,radionuclide imaging
D012000,"Recruitment Detection, Audiologic",short increment sensitivity index
D012000,"Recruitment Detection, Audiologic","recruitment detection, audiologic"
D012000,"Recruitment Detection, Audiologic",alternate binaural loudness balance test
D012018,Reflex,reflex
D012020,"Reflex, Abdominal","reflex, abdominal"
D012021,"Reflex, Abnormal","reflex, knee, abnormal"
D012021,"Reflex, Abnormal","reflex, anal, absent"
D012021,"Reflex, Abnormal",hyperreflexia
D012021,"Reflex, Abnormal","reflex, deep tendon, absent"
D012021,"Reflex, Abnormal","reflex, anal, decreased"
D012021,"Reflex, Abnormal","reflex, triceps, decreased"
D012021,"Reflex, Abnormal","reflex, ankle, absent"
D012021,"Reflex, Abnormal","reflex, biceps, abnormal"
D012021,"Reflex, Abnormal","reflex, triceps, abnormal"
D012021,"Reflex, Abnormal",abnormal deep tendon reflex
D012021,"Reflex, Abnormal",hyporeflexia
D012021,"Reflex, Abnormal","reflex, moro, asymmetric"
D012021,"Reflex, Abnormal","reflex, ankle, abnormal"
D012021,"Reflex, Abnormal","reflex, gag, decreased"
D012021,"Reflex, Abnormal","bulbocavernosus reflex, decreased"
D012021,"Reflex, Abnormal","reflex, corneal, absent"
D012021,"Reflex, Abnormal","reflex, acoustic, abnormal"
D012021,"Reflex, Abnormal","reflex, biceps, absent"
D012021,"Reflex, Abnormal","reflex, absent"
D012021,"Reflex, Abnormal","reflex, gag, absent"
D012021,"Reflex, Abnormal","reflex, knee, decreased"
D012021,"Reflex, Abnormal","reflex, abnormal"
D012021,"Reflex, Abnormal","reflex, corneal, decreased"
D012021,"Reflex, Abnormal",hoffman's reflex
D012021,"Reflex, Abnormal",palmo-mental reflex
D012021,"Reflex, Abnormal","reflex, ankle, decreased"
D012021,"Reflex, Abnormal",bulbocavernousus reflex absent
D012021,"Reflex, Abnormal","reflex, pendular"
D012021,"Reflex, Abnormal","reflex, biceps, decreased"
D012021,"Reflex, Abnormal","reflex, triceps, absent"
D012022,"Reflex, Acoustic","reflex, acoustic"
D012025,"Reflex, Pupillary","reflex, pupillary"
D012026,"Reflex, Stretch","reflex, stretch"
D012026,"Reflex, Stretch","reflex, tendon"
D012029,"Refraction, Ocular","refraction, ocular"
D012115,Residual Volume,residual volume
D012123,Pulmonary Ventilation,pulmonary ventilation
D012123,Pulmonary Ventilation,expiratory airflow
D012123,Pulmonary Ventilation,ventilation tests
D012129,Respiratory Function Tests,pulmonary function tests
D012129,Respiratory Function Tests,respiratory function tests
D012135,Respiratory Sounds,respiratory sounds
D012135,Respiratory Sounds,pleural rub
D012135,Respiratory Sounds,rales
D012135,Respiratory Sounds,stridor
D012135,Respiratory Sounds,rhonchi
D012135,Respiratory Sounds,wheezing
D012397,Rosette Formation,rosette formation
D012546,Schilling Test,schilling test
D012692,Serial Passage,serial passage
D012698,Serologic Tests,serologic tests
D012698,Serologic Tests,serodiagnosis
D012703,Serotyping,serotyping
D012732,Sex Determination Analysis,sex determination analysis
D012796,Sialography,sialography
D012812,Sigmoidoscopy,sigmoidoscopy
D012812,Sigmoidoscopy,sigmoidoscopic surgical procedures
D012880,Skin Pigmentation,skin pigmentation
D012882,Skin Tests,skin tests
D012884,Skin Window Technique,rebuck skin window technique
D012884,Skin Window Technique,skin window technique
D012885,Skinfold Thickness,skinfold thickness
D013008,Somatotypes,endomorph
D013008,Somatotypes,body shape
D013008,Somatotypes,ectomorph
D013008,Somatotypes,somatotypes
D013008,Somatotypes,mesomorph
D013048,Specimen Handling,specimen handling
D013048,Specimen Handling,specimen collection
D013062,Speech Articulation Tests,speech articulation tests
D013063,Speech Discrimination Tests,speech discrimination tests
D013068,Speech Production Measurement,speech production measurement
D013069,Speech Reception Threshold Test,speech reception threshold test
D013076,Sperm Count,sperm number
D013076,Sperm Count,sperm count
D013081,Sperm Motility,sperm motility
